trip_distance,cantidad_viajes,time,day_of_week,hour
1222.31,615,2023-02-01 00:00:00,2,0
1615.95,781,2023-02-01 01:00:00,2,1
761.39,380,2023-02-01 02:00:00,2,2
370.88,182,2023-02-01 03:00:00,2,3
301.18,151,2023-02-01 04:00:00,2,4
324.82,181,2023-02-01 05:00:00,2,5
1373.06,778,2023-02-01 06:00:00,2,6
4108.03,2261,2023-02-01 07:00:00,2,7
7240.46,4166,2023-02-01 08:00:00,2,8
8247.63,4820,2023-02-01 09:00:00,2,9
7769.93,4698,2023-02-01 10:00:00,2,10
7384.43,4516,2023-02-01 11:00:00,2,11
8059.14,4958,2023-02-01 12:00:00,2,12
7882.7,4844,2023-02-01 13:00:00,2,13
8011.11,4945,2023-02-01 14:00:00,2,14
8967.43,5514,2023-02-01 15:00:00,2,15
8722.28,5410,2023-02-01 16:00:00,2,16
9948.38,5964,2023-02-01 17:00:00,2,17
12178.5,7188,2023-02-01 18:00:00,2,18
11697.06,6750,2023-02-01 19:00:00,2,19
10798.42,5892,2023-02-01 20:00:00,2,20
11586.0,5814,2023-02-01 21:00:00,2,21
10536.01,5199,2023-02-01 22:00:00,2,22
7224.47,3495,2023-02-01 23:00:00,2,23
3723.66,1782,2023-02-02 00:00:00,3,0
1762.15,863,2023-02-02 01:00:00,3,1
938.42,459,2023-02-02 02:00:00,3,2
541.01,279,2023-02-02 03:00:00,3,3
381.69,184,2023-02-02 04:00:00,3,4
346.76,192,2023-02-02 05:00:00,3,5
1420.44,814,2023-02-02 06:00:00,3,6
4251.29,2295,2023-02-02 07:00:00,3,7
7325.02,4212,2023-02-02 08:00:00,3,8
8137.53,4748,2023-02-02 09:00:00,3,9
7451.94,4500,2023-02-02 10:00:00,3,10
7699.63,4642,2023-02-02 11:00:00,3,11
7943.73,4922,2023-02-02 12:00:00,3,12
7846.89,4903,2023-02-02 13:00:00,3,13
8508.69,5184,2023-02-02 14:00:00,3,14
9557.53,5839,2023-02-02 15:00:00,3,15
9354.85,5652,2023-02-02 16:00:00,3,16
10238.8,6213,2023-02-02 17:00:00,3,17
12505.39,7391,2023-02-02 18:00:00,3,18
12817.99,7354,2023-02-02 19:00:00,3,19
10976.75,5975,2023-02-02 20:00:00,3,20
11031.56,5631,2023-02-02 21:00:00,3,21
11958.7,5853,2023-02-02 22:00:00,3,22
9102.83,4409,2023-02-02 23:00:00,3,23
5592.42,2657,2023-02-03 00:00:00,4,0
3255.75,1598,2023-02-03 01:00:00,4,1
1925.07,954,2023-02-03 02:00:00,4,2
941.06,501,2023-02-03 03:00:00,4,3
695.3,336,2023-02-03 04:00:00,4,4
421.55,223,2023-02-03 05:00:00,4,5
1218.09,707,2023-02-03 06:00:00,4,6
3230.32,1808,2023-02-03 07:00:00,4,7
5837.48,3512,2023-02-03 08:00:00,4,8
6698.47,4089,2023-02-03 09:00:00,4,9
6923.26,4182,2023-02-03 10:00:00,4,10
